id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1067,Cozy Entire home/apt in Lower East Side,17561,Maria,Manhattan,Lower East Side,40.777134,-73.984125,Entire home/apt,134,3,55,2020-03-05,,1,67
1068,Cozy Private room in Crown Heights,94659,Michael,Brooklyn,Crown Heights,40.676673,-73.938338,Private room,50,2,3,2019-07-29,0.14,1,5
1069,Cozy Private room in St. George,11605,Michael,Staten Island,St. George,40.558677,-74.178145,Private room,102,1,6,2020-02-10,0.67,1,197
1070,Cozy Entire home/apt in Hell's Kitchen,51427,Michael,Manhattan,Hell's Kitchen,40.791558,-73.954759,Entire home/apt,10,1,100,2020-04-13,4.76,3,321
1071,Cozy Entire home/apt in Midtown,20954,John,Manhattan,Midtown,40.759729,-74.001602,Entire home/apt,281,30,27,2020-04-14,3.86,3,334
1072,Cozy Entire home/apt in Midtown,88477,Sarah,Manhattan,Midtown,40.73709,-73.977501,Entire home/apt,245,1,6,2020-06-02,0.35,1,89
1073,Cozy Private room in Bushwick,92180,Emma,Brooklyn,Bushwick,40.63007,-73.904803,Private room,10,2,1,2019-03-12,0.06,1,9
1074,Cozy Entire home/apt in Long Island City,52078,Michael,Queens,Long Island City,40.762362,-73.83455,Entire home/apt,139,3,22,2019-06-11,0.76,20,93
1075,Cozy Private room in Lower East Side,15415,Michael,Manhattan,Lower East Side,40.771728,-74.020152,Private room,190,1,69,2020-06-25,,3,34
1076,Cozy Private room in Long Island City,30611,Maria,Queens,Long Island City,40.713296,-73.853935,Private room,72,1,5,2019-05-18,0.29,2,77
1077,Cozy Private room in Williamsburg,97062,Maria,Brooklyn,Williamsburg,40.6601,-73.937801,Private room,105,3,57,2019-06-09,3.17,1,352
1078,Cozy Private room in Chelsea,97487,Sarah,Manhattan,Chelsea,40.727338,-73.95371,Private room,10,7,10,2019-12-18,0.71,1,41
1079,Cozy Private room in Long Island City,77779,Lisa,Queens,Long Island City,40.733591,-73.840003,Private room,109,7,151,2019-09-15,37.75,5,288
1080,Cozy Private room in Midtown,94291,James,Manhattan,Midtown,40.77178,-73.966397,Private room,96,1,39,2019-10-11,,2,46
1081,Cozy Private room in Williamsburg,24153,Emma,Brooklyn,Williamsburg,40.652402,-73.965812,Private room,18,2,7,2019-05-14,0.41,1,10
1082,Cozy Private room in Harlem,90879,Lisa,Manhattan,Harlem,40.769732,-73.9502,Private room,96,3,32,2020-03-13,0.89,2,355
1083,Cozy Private room in Midtown,54327,Maria,Manhattan,Midtown,40.781235,-73.951145,Private room,81,2,23,,2.3,1,28
1084,Cozy Entire home/apt in Lower East Side,21694,John,Manhattan,Lower East Side,40.718381,-73.997184,Entire home/apt,257,2,10,2020-01-14,0.28,3,148
1085,Cozy Entire home/apt in Harlem,83509,James,Manhattan,Harlem,40.741708,-73.996244,Entire home/apt,184,3,12,2019-05-11,4.0,3,74
1086,Cozy Entire home/apt in Crown Heights,29956,Emma,Brooklyn,Crown Heights,40.698188,-73.955008,Entire home/apt,72,3,4,2019-02-10,0.17,2,197
1087,Cozy Entire home/apt in Bushwick,29816,Sarah,Brooklyn,Bushwick,40.636893,-73.95083,Entire home/apt,131,1,27,,1.17,1,83
1088,Cozy Entire home/apt in New Brighton,12079,James,Staten Island,New Brighton,40.576459,-74.141002,Entire home/apt,61,1,34,2019-06-08,2.12,1,210
1089,Cozy Private room in Flushing,16645,David,Queens,Flushing,40.723261,-73.868939,Private room,58,7,8,2020-02-27,4.0,2,193
1090,Cozy Entire home/apt in Harlem,91974,Emma,Manhattan,Harlem,40.726492,-73.966722,Entire home/apt,93,2,25,2020-02-26,1.56,2,86
1091,Cozy Entire home/apt in Chelsea,66373,David,Manhattan,Chelsea,40.741142,-73.978445,Entire home/apt,149,7,6,2019-04-21,0.24,5,327
1092,Cozy Private room in Williamsburg,96925,Lisa,Brooklyn,Williamsburg,40.648452,-73.912293,Private room,151,60,82,2019-08-16,6.31,1,181
1093,Cozy Entire home/apt in Upper East Side,60460,Emma,Manhattan,Upper East Side,40.747714,-73.952586,Entire home/apt,257,1,0,,,3,35
1094,Cozy Entire home/apt in Chelsea,73197,Sarah,Manhattan,Chelsea,40.743021,-73.955115,Entire home/apt,338,3,7,2019-08-17,3.5,1,255
1095,Cozy Private room in New Brighton,96143,Sarah,Staten Island,New Brighton,40.553569,-74.152218,Private room,10,3,3,2020-02-13,0.14,1,58
1096,Cozy Private room in Long Island City,86908,Maria,Queens,Long Island City,40.743298,-73.846345,Private room,10,2,25,2019-10-13,1.09,3,153
1097,Cozy Private room in Bed-Stuy,88411,James,Brooklyn,Bed-Stuy,40.641514,-73.98312,Private room,48,1,17,2019-12-06,8.5,1,164
1098,Cozy Private room in Riverdale,21664,Michael,Bronx,Riverdale,40.830502,-73.895349,Private room,89,1,27,2019-07-02,1.59,1,172
1099,Cozy Entire home/apt in Midtown,97410,Maria,Manhattan,Midtown,40.733628,-73.992856,Entire home/apt,361,1,33,2020-03-20,,1,291
1100,Cozy Private room in Hell's Kitchen,99399,Emma,Manhattan,Hell's Kitchen,40.731195,-74.021505,Private room,172,7,16,2020-03-22,0.48,1,245
1101,Cozy Entire home/apt in Williamsburg,42921,James,Brooklyn,Williamsburg,40.662939,-73.956449,Entire home/apt,34,3,17,2019-07-14,1.0,1,200
1102,Cozy Private room in Williamsburg,85186,James,Brooklyn,Williamsburg,40.646772,-73.936782,Private room,20,1,1,2019-01-02,0.03,1,107
1103,Cozy Private room in Lower East Side,67134,Sarah,Manhattan,Lower East Side,40.720936,-73.947346,Private room,328,60,3,2020-01-08,0.11,3,310
1104,Cozy Private room in Williamsburg,87454,Emma,Brooklyn,Williamsburg,40.680454,-73.979872,Private room,127,30,98,2019-11-18,12.25,2,267
1105,Cozy Private room in Hell's Kitchen,92310,Michael,Manhattan,Hell's Kitchen,40.716716,-73.968206,Private room,244,3,183,2020-06-03,9.15,1,85
1106,Cozy Shared room in Kingsbridge,97312,James,Bronx,Kingsbridge,40.849013,-73.896824,Shared room,21,14,49,2019-12-01,1.88,2,102
1107,Cozy Private room in Crown Heights,50998,David,Brooklyn,Crown Heights,40.650223,-73.940841,Private room,117,2,18,2019-07-16,0.67,3,363
1108,Cozy Private room in Hell's Kitchen,76081,James,Manhattan,Hell's Kitchen,40.715702,-73.954024,Private room,145,1,6,2019-06-28,0.3,1,169
1109,Cozy Private room in Fordham,83972,John,Bronx,Fordham,40.835383,-73.879539,Private room,67,2,154,2019-11-08,8.11,1,317
1110,Cozy Entire home/apt in Harlem,34951,James,Manhattan,Harlem,40.736979,-74.000295,Entire home/apt,245,1,32,2019-11-26,1.07,1,141
1111,Cozy Entire home/apt in Upper East Side,99431,Lisa,Manhattan,Upper East Side,40.723955,-73.947487,Entire home/apt,32,2,109,,3.3,3,304
1112,Cozy Private room in Upper East Side,64842,David,Manhattan,Upper East Side,40.746126,-73.956974,Private room,195,7,113,2019-03-28,5.95,1,259
1113,Cozy Entire home/apt in Long Island City,65554,Maria,Queens,Long Island City,40.754096,-73.836938,Entire home/apt,103,2,1,2019-08-29,0.05,2,240
1114,Cozy Entire home/apt in Harlem,36685,Sarah,Manhattan,Harlem,40.793707,-73.952205,Entire home/apt,276,3,7,2019-05-31,3.5,1,337
1115,Cozy Private room in Williamsburg,27674,Sarah,Brooklyn,Williamsburg,40.695197,-73.962752,Private room,224,30,0,,,1,356
1116,Cozy Shared room in Jackson Heights,35559,Maria,Queens,Jackson Heights,40.708212,-73.900593,Shared room,39,3,26,,0.96,2,225
1117,Cozy Private room in Hell's Kitchen,95956,Sarah,Manhattan,Hell's Kitchen,40.793318,-74.019079,Private room,151,1,81,2020-01-29,2.53,5,283
1118,Cozy Private room in Park Slope,96231,Sarah,Brooklyn,Park Slope,40.688794,-73.931324,Private room,188,30,19,2019-06-01,19.0,5,288
1119,Cozy Private room in Astoria,96206,James,Queens,Astoria,40.743919,-73.885862,Private room,85,7,45,2019-08-13,3.75,5,169
1120,Cozy Entire home/apt in New Brighton,58845,Lisa,Staten Island,New Brighton,40.599531,-74.170305,Entire home/apt,66,1,59,2019-02-21,1.64,1,257
1121,Cozy Entire home/apt in Harlem,22987,Maria,Manhattan,Harlem,40.714726,-73.958506,Entire home/apt,277,1,20,2020-04-12,2.22,1,353
1122,Cozy Entire home/apt in Upper East Side,15084,Emma,Manhattan,Upper East Side,40.777105,-74.0101,Entire home/apt,326,1,12,2020-03-29,0.36,3,36
1123,Cozy Entire home/apt in Fordham,30953,Lisa,Bronx,Fordham,40.802976,-73.857807,Entire home/apt,67,7,36,2019-06-12,1.16,20,192
1124,Cozy Entire home/apt in Park Slope,17813,Michael,Brooklyn,Park Slope,40.654747,-73.918497,Entire home/apt,206,1,12,2019-09-11,0.67,1,32
1125,Cozy Entire home/apt in Lower East Side,16540,Lisa,Manhattan,Lower East Side,40.782337,-73.981838,Entire home/apt,375,60,15,2019-09-02,0.83,3,98
1126,Cozy Private room in Upper East Side,43756,Maria,Manhattan,Upper East Side,40.789489,-73.990422,Private room,55,30,3,2019-10-20,0.19,2,235
1127,Cozy Entire home/apt in Chelsea,86961,Emma,Manhattan,Chelsea,40.731048,-74.021509,Entire home/apt,285,2,103,2019-11-24,2.94,2,14
1128,Cozy Private room in Midtown,18711,David,Manhattan,Midtown,40.775674,-73.956417,Private room,166,30,5,2019-06-04,0.33,3,308
1129,Cozy Entire home/apt in Park Slope,10526,David,Brooklyn,Park Slope,40.663522,-73.974615,Entire home/apt,138,30,0,,,1,45
1130,Cozy Entire home/apt in Bushwick,64615,Maria,Brooklyn,Bushwick,40.65966,-73.905252,Entire home/apt,137,3,1,2020-02-29,0.04,1,116
1131,Cozy Private room in Crown Heights,36143,Lisa,Brooklyn,Crown Heights,40.677559,-73.923435,Private room,10,90,12,,3.0,10,165
1132,Cozy Private room in Riverdale,58787,James,Bronx,Riverdale,40.824681,-73.863936,Private room,22,3,2,2020-02-03,1.0,10,79
1133,Cozy Private room in Lower East Side,66985,James,Manhattan,Lower East Side,40.745754,-74.013383,Private room,160,1,53,2020-05-03,53.0,2,76
1134,Cozy Private room in Crown Heights,11925,Michael,Brooklyn,Crown Heights,40.672582,-73.934672,Private room,47,7,2,2020-02-04,0.07,2,122
1135,Cozy Private room in Lower East Side,23629,Sarah,Manhattan,Lower East Side,40.762981,-73.985248,Private room,80,3,73,2020-05-14,4.87,2,83
1136,Cozy Private room in Crown Heights,25313,James,Brooklyn,Crown Heights,40.629828,-73.964232,Private room,70,1,1,2020-05-12,0.5,1,13
1137,Cozy Entire home/apt in Jackson Heights,12356,Emma,Queens,Jackson Heights,40.740697,-73.861144,Entire home/apt,154,2,93,2020-02-19,8.45,2,220
1138,Cozy Entire home/apt in Park Slope,40027,David,Brooklyn,Park Slope,40.638935,-73.907138,Entire home/apt,72,1,28,2020-06-30,14.0,1,206
1139,Cozy Private room in Jackson Heights,90818,John,Queens,Jackson Heights,40.734294,-73.865911,Private room,74,7,33,2019-03-27,1.18,2,151
1140,Cozy Private room in Bushwick,96652,Lisa,Brooklyn,Bushwick,40.641853,-73.934163,Private room,66,3,8,2019-07-06,2.0,2,245
1141,Cozy Entire home/apt in Long Island City,21561,James,Queens,Long Island City,40.707003,-73.823288,Entire home/apt,130,30,31,2019-12-02,2.21,1,86
1142,Cozy Entire home/apt in Jackson Heights,79350,Emma,Queens,Jackson Heights,40.701082,-73.869713,Entire home/apt,116,3,14,2019-12-12,0.56,20,83
1143,Cozy Private room in Chelsea,22588,James,Manhattan,Chelsea,40.732962,-74.005226,Private room,87,7,9,2019-09-16,1.5,5,163
1144,Cozy Entire home/apt in Park Slope,89530,John,Brooklyn,Park Slope,40.700887,-73.963798,Entire home/apt,257,2,3,2019-02-23,0.13,1,263
1145,Cozy Private room in Harlem,19847,Maria,Manhattan,Harlem,40.778454,-73.977172,Private room,67,3,11,2019-02-11,5.5,5,304
1146,Cozy Entire home/apt in Harlem,90896,Sarah,Manhattan,Harlem,40.723769,-73.987824,Entire home/apt,213,60,18,2019-01-21,1.8,10,284
1147,Cozy Entire home/apt in Harlem,45057,David,Manhattan,Harlem,40.791209,-74.023605,Entire home/apt,216,1,1,2020-04-29,0.12,10,180
1148,Cozy Private room in Bed-Stuy,49062,Sarah,Brooklyn,Bed-Stuy,40.627398,-73.959366,Private room,136,7,16,2020-04-21,0.94,2,339
1149,Cozy Private room in Chelsea,33196,David,Manhattan,Chelsea,40.7495,-73.954549,Private room,10,1,87,2019-04-28,7.91,1,263
1150,Cozy Private room in Crown Heights,75838,Maria,Brooklyn,Crown Heights,40.670649,-73.981569,Private room,86,3,17,2019-01-27,0.85,10,135
1151,Cozy Private room in Bed-Stuy,52287,James,Brooklyn,Bed-Stuy,40.677099,-73.975473,Private room,98,7,6,2020-02-11,0.46,2,52
1152,Cozy Entire home/apt in St. George,95150,Sarah,Staten Island,St. George,40.598076,-74.120719,Entire home/apt,82,14,51,2019-04-15,2.55,1,76
1153,Cozy Private room in Hell's Kitchen,35426,Maria,Manhattan,Hell's Kitchen,40.783512,-73.993946,Private room,150,7,41,2019-02-12,1.78,1,278
1154,Cozy Entire home/apt in Bed-Stuy,93360,James,Brooklyn,Bed-Stuy,40.644004,-73.95414,Entire home/apt,220,2,20,2020-01-15,4.0,1,92
1155,Cozy Private room in Lower East Side,32612,Emma,Manhattan,Lower East Side,40.783067,-73.982473,Private room,263,3,27,2019-01-13,1.0,1,264
1156,Cozy Entire home/apt in Upper East Side,83770,Maria,Manhattan,Upper East Side,40.775191,-73.958961,Entire home/apt,94,3,21,2020-03-19,0.88,2,270
1157,Cozy Entire home/apt in Kingsbridge,97163,Lisa,Bronx,Kingsbridge,40.873373,-73.873625,Entire home/apt,25,1,5,2019-06-06,0.18,1,302
1158,Cozy Entire home/apt in Harlem,52652,Michael,Manhattan,Harlem,40.778242,-73.980867,Entire home/apt,177,3,24,2020-05-10,0.8,1,26
1159,Cozy Private room in Park Slope,96365,Michael,Brooklyn,Park Slope,40.639492,-73.929511,Private room,51,2,7,2019-11-27,0.44,1,344
1160,Cozy Private room in Williamsburg,69189,Michael,Brooklyn,Williamsburg,40.669018,-73.980527,Private room,86,60,7,2020-04-06,0.44,2,262
1161,Cozy Private room in Fordham,47384,James,Bronx,Fordham,40.848728,-73.912018,Private room,13,30,42,2019-12-11,21.0,1,25
1162,Cozy Private room in Fordham,17227,Emma,Bronx,Fordham,40.850714,-73.861238,Private room,10,7,8,2019-07-06,0.25,3,99
1163,Cozy Entire home/apt in Harlem,27633,Emma,Manhattan,Harlem,40.751831,-73.981171,Entire home/apt,253,1,4,2019-09-22,0.18,1,107
1164,Cozy Entire home/apt in Chelsea,96936,Michael,Manhattan,Chelsea,40.793023,-74.013085,Entire home/apt,270,7,7,2019-01-11,0.21,2,253
1165,Cozy Entire home/apt in Bushwick,39371,Maria,Brooklyn,Bushwick,40.690497,-73.935742,Entire home/apt,68,7,31,2019-09-05,1.15,1,279
1166,Cozy Private room in Fordham,20106,Sarah,Bronx,Fordham,40.824485,-73.876628,Private room,65,2,22,2020-05-02,0.69,1,352
1167,Cozy Private room in Jackson Heights,66549,John,Queens,Jackson Heights,40.735425,-73.846589,Private room,10,7,1,2019-04-06,0.05,1,263
1168,Cozy Entire home/apt in Bushwick,63363,James,Brooklyn,Bushwick,40.629811,-73.939016,Entire home/apt,131,90,11,2019-09-07,0.55,10,285
1169,Cozy Private room in Hell's Kitchen,78619,Emma,Manhattan,Hell's Kitchen,40.741806,-73.970807,Private room,73,3,5,2020-04-29,0.14,3,157
1170,Cozy Entire home/apt in Kingsbridge,28752,Emma,Bronx,Kingsbridge,40.864363,-73.884323,Entire home/apt,42,30,122,2020-03-11,3.39,2,363
1171,Cozy Private room in Chelsea,19715,Emma,Manhattan,Chelsea,40.7707,-74.021107,Private room,92,14,3,2020-04-09,0.17,1,37
1172,Cozy Entire home/apt in Chelsea,74977,Michael,Manhattan,Chelsea,40.755254,-73.950449,Entire home/apt,54,2,12,2019-08-25,1.5,1,195
1173,Cozy Private room in New Brighton,35169,Sarah,Staten Island,New Brighton,40.589236,-74.137056,Private room,64,60,5,2019-11-20,0.62,1,41
1174,Cozy Entire home/apt in Flushing,30609,Sarah,Queens,Flushing,40.705889,-73.824414,Entire home/apt,118,1,9,2019-08-10,0.29,2,346
1175,Cozy Private room in Fordham,15901,Michael,Bronx,Fordham,40.808136,-73.854139,Private room,25,2,16,2019-04-13,1.23,3,94
1176,Cozy Shared room in Chelsea,41822,Sarah,Manhattan,Chelsea,40.791049,-73.980038,Shared room,111,3,3,2020-01-05,0.25,20,24
1177,Cozy Entire home/apt in Crown Heights,45262,John,Brooklyn,Crown Heights,40.676266,-73.966717,Entire home/apt,199,2,17,2020-06-30,1.89,2,315
1178,Cozy Entire home/apt in Crown Heights,35032,John,Brooklyn,Crown Heights,40.659427,-73.970347,Entire home/apt,98,1,131,2019-02-25,3.64,1,55
1179,Cozy Entire home/apt in Long Island City,56851,David,Queens,Long Island City,40.767736,-73.835882,Entire home/apt,92,7,4,2020-05-17,0.57,2,96
1180,Cozy Private room in Midtown,61196,Michael,Manhattan,Midtown,40.742339,-73.98196,Private room,10,30,3,2020-04-25,0.1,1,61
1181,Cozy Entire home/apt in Upper East Side,99818,Emma,Manhattan,Upper East Side,40.747486,-73.960773,Entire home/apt,304,1,82,2019-07-08,20.5,2,61
1182,Cozy Entire home/apt in Crown Heights,57076,Lisa,Brooklyn,Crown Heights,40.701766,-73.944972,Entire home/apt,48,3,44,2019-04-27,8.8,1,180
