id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1023,Brooklyn,Bed-Stuy,40.639306,-73.954682,Private room,184,7,6.0,0.75,1,288
1024,Queens,Jackson Heights,40.765841,-73.869552,Private room,68,7,17.0,2.83,1,21
1025,Bronx,Kingsbridge,40.866133,-73.907585,Private room,10,3,39.0,2.05,2,283
1026,Brooklyn,Bed-Stuy,40.65146,-73.939779,Private room,76,30,8.0,0.33,10,232
1027,Brooklyn,Bed-Stuy,40.638559,-73.939456,Shared room,53,2,1.0,0.08,1,160
1028,Bronx,Kingsbridge,40.86719,-73.866739,Private room,14,90,23.0,4.6,1,126
1029,Brooklyn,Williamsburg,40.645497,-73.935079,Private room,86,2,11.0,0.73,1,246
1030,Manhattan,Chelsea,40.74104,-73.993953,Entire home/apt,113,2,1.0,0.17,5,141
1031,Manhattan,Harlem,40.781115,-73.955168,Private room,165,3,0.0,,20,62
1032,Manhattan,Midtown,40.763831,-74.017172,Entire home/apt,251,14,9.0,0.36,1,59
1033,Manhattan,Chelsea,40.791563,-73.966832,Private room,10,7,19.0,0.63,1,307
1034,Manhattan,Hell's Kitchen,40.769678,-73.991284,Entire home/apt,363,1,7.0,0.29,5,317
1035,Manhattan,Harlem,40.788769,-73.972938,Entire home/apt,180,3,7.0,0.29,1,47
1036,Brooklyn,Crown Heights,40.634286,-73.98032,Private room,176,3,1.0,0.07,1,85
1037,Manhattan,Hell's Kitchen,40.778553,-73.996296,Private room,79,3,30.0,1.67,3,217
1038,Brooklyn,Williamsburg,40.677695,-73.970965,Private room,57,60,0.0,,5,95
1039,Manhattan,Lower East Side,40.745054,-73.972537,Private room,168,3,0.0,,2,339
1040,Brooklyn,Bushwick,40.642167,-73.953819,Private room,67,30,81.0,2.31,1,43
1041,Manhattan,Hell's Kitchen,40.715862,-73.958843,Private room,173,7,,0.62,5,92
1042,Manhattan,Harlem,40.757838,-73.990122,Entire home/apt,305,7,52.0,1.73,20,276
1043,Brooklyn,Park Slope,40.699461,-73.915327,Private room,164,1,32.0,1.78,1,95
1044,Brooklyn,Bed-Stuy,40.696642,-73.952864,Private room,52,3,58.0,3.87,1,216
1045,Manhattan,Hell's Kitchen,40.752602,-73.984558,Private room,144,2,2.0,0.1,2,205
1046,Manhattan,Midtown,40.721296,-73.984446,Entire home/apt,321,60,5.0,0.33,3,143
1047,Manhattan,Midtown,40.791492,-73.968958,Private room,313,30,14.0,,2,234
1048,Queens,Jackson Heights,40.694508,-73.894213,Private room,41,2,6.0,0.33,2,282
1049,Staten Island,St. George,40.59927,-74.160899,Entire home/apt,126,14,11.0,0.79,20,326
1050,Manhattan,Lower East Side,40.751493,-74.019496,Private room,10,1,59.0,2.81,1,172
1051,Manhattan,Harlem,40.74399,-74.001143,Entire home/apt,361,7,26.0,0.81,20,347
1052,Queens,Jackson Heights,40.694035,-73.887703,Entire home/apt,97,1,123.0,4.1,2,226
1053,Manhattan,Harlem,40.717636,-74.001523,Entire home/apt,308,7,137.0,8.06,5,258
1054,Bronx,Riverdale,40.815352,-73.904725,Private room,106,1,8.0,0.5,1,89
1055,Manhattan,Hell's Kitchen,40.779104,-73.969222,Entire home/apt,147,1,15.0,0.42,1,200
1056,Manhattan,Lower East Side,40.727187,-73.9911,Private room,187,60,13.0,0.76,2,241
1057,Queens,Jackson Heights,40.765593,-73.83363,Entire home/apt,154,2,105.0,4.04,1,281
1058,Queens,Long Island City,40.767731,-73.856565,Entire home/apt,31,30,1.0,0.07,20,196
1059,Queens,Flushing,40.708115,-73.879021,Private room,28,1,47.0,1.42,1,77
1060,Manhattan,Upper East Side,40.721073,-73.960655,Private room,10,2,44.0,7.33,20,53
1061,Brooklyn,Williamsburg,40.697252,-73.934619,Entire home/apt,123,14,13.0,1.62,3,65
1062,Staten Island,St. George,40.601692,-74.159277,Private room,75,7,2.0,0.18,1,248
1063,Brooklyn,Park Slope,40.686513,-73.978701,Private room,200,1,74.0,14.8,5,183
1064,Manhattan,Upper East Side,40.724244,-74.011848,Private room,17,2,21.0,0.84,1,110
1065,Manhattan,Lower East Side,40.755219,-73.946151,Private room,66,2,5.0,0.17,5,194
1066,Brooklyn,Bed-Stuy,40.661862,-73.967493,Entire home/apt,109,1,10.0,0.59,1,325
1067,Manhattan,Lower East Side,40.769023,-73.983067,Entire home/apt,314,1,29.0,29.0,1,248
1068,Manhattan,Hell's Kitchen,40.76346,-73.994487,Entire home/apt,236,3,107.0,13.38,1,55
1069,Brooklyn,Bed-Stuy,40.692555,-73.924031,Private room,30,2,0.0,,2,6
1070,Manhattan,Chelsea,40.739766,-74.007084,Private room,15,7,2.0,0.09,1,27
1071,Manhattan,Midtown,40.765906,-73.985633,Entire home/apt,70,3,55.0,2.89,1,67
1072,Brooklyn,Park Slope,40.676673,-73.938338,Private room,202,2,20.0,1.82,1,100
1073,Manhattan,Upper East Side,40.743229,-73.984975,Shared room,191,1,23.0,23.0,1,149
1074,Queens,Long Island City,40.741491,-73.82665,Entire home/apt,126,90,0.0,,1,93
1075,Brooklyn,Bed-Stuy,40.681876,-73.968039,Private room,85,7,8.0,0.67,20,325
1076,Queens,Astoria,40.735511,-73.871462,Private room,91,3,2.0,0.1,1,355
1077,Brooklyn,Bed-Stuy,40.645371,-73.92948,Private room,122,1,19.0,1.46,3,167
1078,Queens,Flushing,40.720681,-73.826365,Private room,10,30,10.0,0.42,3,317
1079,Staten Island,St. George,40.606346,-74.179818,Entire home/apt,57,30,11.0,0.31,2,319
1080,Queens,Astoria,40.758176,-73.869604,Entire home/apt,82,7,42.0,2.0,1,61
1081,Queens,Jackson Heights,40.728218,-73.882423,Entire home/apt,82,3,11.0,5.5,3,352
1082,Bronx,Riverdale,40.855444,-73.870503,Entire home/apt,101,1,,1.0,1,133
1083,Manhattan,Chelsea,40.738938,-74.004121,Private room,129,7,17.0,1.06,1,156
1084,Queens,Astoria,40.718306,-73.86444,Entire home/apt,155,2,52.0,3.25,1,293
1085,Brooklyn,Bed-Stuy,40.682603,-73.932708,Entire home/apt,164,3,19.0,3.17,2,323
1086,Brooklyn,Williamsburg,40.658888,-73.960966,Private room,30,30,5.0,0.16,1,37
1087,Brooklyn,Williamsburg,40.672437,-73.975823,Private room,10,1,3.0,0.09,2,110
1088,Bronx,Riverdale,40.869855,-73.916175,Private room,23,1,1.0,0.11,5,295
1089,Manhattan,Hell's Kitchen,40.755507,-73.976698,Entire home/apt,337,14,5.0,0.16,5,0
1090,Manhattan,Lower East Side,40.783081,-73.950163,Entire home/apt,316,2,0.0,,1,62
1091,Brooklyn,Bushwick,40.644858,-73.937789,Entire home/apt,105,3,62.0,3.65,10,363
1092,Manhattan,Lower East Side,40.790886,-74.012107,Entire home/apt,313,1,8.0,0.29,1,48
1093,Brooklyn,Bushwick,40.656785,-73.949857,Entire home/apt,98,3,144.0,4.11,1,256
1094,Queens,Flushing,40.750042,-73.864737,Entire home/apt,185,14,11.0,0.55,1,18
1095,Brooklyn,Park Slope,40.651749,-73.97796,Entire home/apt,105,3,12.0,0.5,1,318
1096,Queens,Jackson Heights,40.740714,-73.898832,Entire home/apt,97,90,40.0,1.18,2,287
1097,Manhattan,Upper East Side,40.759555,-73.953003,Entire home/apt,305,1,27.0,3.38,1,53
1098,Brooklyn,Bushwick,40.648452,-73.912293,Private room,151,60,82.0,5.47,1,181
1099,Manhattan,Midtown,40.770316,-73.95115,Entire home/apt,257,1,5.0,0.23,2,35
1100,Brooklyn,Williamsburg,40.669164,-73.94911,Entire home/apt,112,14,0.0,,1,292
1101,Manhattan,Lower East Side,40.792829,-73.986315,Private room,218,1,36.0,1.0,2,201
1102,Manhattan,Harlem,40.780794,-73.945248,Entire home/apt,373,2,30.0,2.0,1,200
1103,Brooklyn,Williamsburg,40.690204,-73.944153,Entire home/apt,145,1,7.0,1.4,1,145
1104,Manhattan,Hell's Kitchen,40.783911,-73.976207,Entire home/apt,382,1,2.0,0.5,5,26
1105,Brooklyn,Bushwick,40.628757,-73.970697,Private room,75,30,4.0,0.8,1,189
1106,Queens,Astoria,40.71177,-73.855688,Entire home/apt,37,2,12.0,0.55,2,163
1107,Brooklyn,Williamsburg,40.668187,-73.971039,Private room,111,7,69.0,2.09,1,288
1108,Queens,Flushing,40.743072,-73.866214,Private room,33,2,10.0,0.56,1,128
1109,Manhattan,Hell's Kitchen,40.742878,-74.016673,Private room,327,7,40.0,1.25,2,101
1110,Bronx,Riverdale,40.848116,-73.865277,Entire home/apt,72,3,5.0,0.14,3,215
1111,Queens,Flushing,40.767013,-73.825475,Private room,77,30,98.0,3.16,1,267
1112,Manhattan,Harlem,40.723223,-73.990259,Private room,194,7,0.0,,1,136
1113,Queens,Jackson Heights,40.735702,-73.882599,Private room,57,3,1.0,0.04,1,102
1114,Manhattan,Harlem,40.757072,-73.971068,Entire home/apt,126,1,32.0,4.57,3,14
1115,Queens,Astoria,40.767227,-73.900981,Private room,103,30,13.0,0.46,1,310
1116,Manhattan,Chelsea,40.772582,-74.023732,Entire home/apt,453,2,7.0,0.25,1,358
1117,Brooklyn,Park Slope,40.62643,-73.904982,Entire home/apt,100,7,,1.57,1,292
1118,Brooklyn,Williamsburg,40.695736,-73.935936,Entire home/apt,75,14,74.0,10.57,20,197
1119,Bronx,Riverdale,40.848972,-73.877381,Shared room,42,1,34.0,1.31,10,71
1120,Brooklyn,Crown Heights,40.675382,-73.966694,Entire home/apt,108,7,5.0,0.71,3,261
1121,Brooklyn,Bushwick,40.704707,-73.912205,Private room,41,2,18.0,1.38,1,177
1122,Brooklyn,Bushwick,40.69397,-73.919239,Private room,10,3,7.0,0.2,10,194
1123,Brooklyn,Park Slope,40.682874,-73.94433,Private room,24,2,2.0,0.22,1,37
1124,Manhattan,Upper East Side,40.786521,-73.978294,Entire home/apt,173,3,47.0,3.92,1,223
1125,Brooklyn,Crown Heights,40.677676,-73.915953,Private room,90,7,49.0,1.63,3,215
1126,Queens,Flushing,40.75847,-73.831253,Private room,72,3,28.0,5.6,1,187
1127,Manhattan,Upper East Side,40.71409,-73.979505,Private room,198,2,3.0,0.08,5,157
1128,Queens,Astoria,40.698276,-73.878333,Entire home/apt,121,2,,0.75,3,343
1129,Manhattan,Hell's Kitchen,40.722201,-73.949022,Entire home/apt,49,2,45.0,1.29,10,334
1130,Brooklyn,Williamsburg,40.630976,-73.915807,Entire home/apt,204,3,1.0,0.17,1,192
1131,Staten Island,St. George,40.604721,-74.161253,Private room,10,7,14.0,1.27,1,6
1132,Queens,Jackson Heights,40.743495,-73.883338,Entire home/apt,122,14,2.0,0.06,3,270
1133,Manhattan,Upper East Side,40.716504,-73.965498,Private room,116,2,26.0,1.86,20,336
1134,Bronx,Fordham,40.799491,-73.873867,Private room,10,7,9.0,2.25,1,161
1135,Manhattan,Harlem,40.726293,-73.987705,Private room,69,60,16.0,0.64,1,144
1136,Brooklyn,Williamsburg,40.625099,-73.936134,Entire home/apt,101,60,60.0,2.4,1,45
1137,Brooklyn,Crown Heights,40.651074,-73.936779,Entire home/apt,196,1,20.0,0.67,2,318
1138,Brooklyn,Crown Heights,40.677559,-73.923435,Shared room,34,2,28.0,1.0,2,94
1139,Bronx,Kingsbridge,40.875933,-73.9146,Private room,10,7,32.0,0.89,1,40
1140,Brooklyn,Park Slope,40.695603,-73.977399,Private room,108,2,0.0,,1,1
1141,Queens,Flushing,40.752047,-73.884988,Entire home/apt,166,90,9.0,0.69,2,89
1142,Manhattan,Chelsea,40.737907,-73.949184,Entire home/apt,345,60,0.0,,2,358
1143,Bronx,Riverdale,40.84124,-73.878202,Private room,68,3,38.0,9.5,2,6
1144,Queens,Astoria,40.705537,-73.822931,Entire home/apt,162,7,22.0,1.05,5,24
1145,Manhattan,Midtown,40.715669,-73.971739,Entire home/apt,178,7,38.0,9.5,1,306
1146,Manhattan,Lower East Side,40.75101,-73.954538,Private room,45,1,12.0,0.39,1,206
1147,Queens,Flushing,40.728388,-73.857536,Private room,51,2,13.0,3.25,3,363
1148,Brooklyn,Bed-Stuy,40.704371,-73.961292,Private room,72,3,23.0,3.83,2,261
1149,Manhattan,Harlem,40.771266,-73.951277,Entire home/apt,186,14,15.0,3.0,1,224
1150,Manhattan,Lower East Side,40.760353,-73.97099,Entire home/apt,217,30,7.0,1.4,2,110
1151,Manhattan,Hell's Kitchen,40.740015,-73.962122,Private room,226,2,9.0,0.56,2,162
1152,Manhattan,Upper East Side,40.780311,-73.989529,Shared room,10,1,1.0,0.12,1,92
1153,Manhattan,Lower East Side,40.772912,-73.970896,Private room,96,1,30.0,1.88,1,283
1154,Brooklyn,Bed-Stuy,40.667494,-73.909072,Private room,98,1,50.0,,1,333
1155,Manhattan,Lower East Side,40.760774,-73.968943,Entire home/apt,336,60,15.0,2.5,1,324
1156,Manhattan,Upper East Side,40.716398,-73.999366,Entire home/apt,80,2,18.0,0.53,1,293
1157,Brooklyn,Crown Heights,40.637493,-73.965235,Entire home/apt,170,60,27.0,1.59,3,128
1158,Staten Island,St. George,40.541431,-74.116524,Entire home/apt,81,14,6.0,0.29,2,302
1159,Brooklyn,Bushwick,40.671175,-73.956114,Private room,75,7,6.0,0.35,2,52
1160,Manhattan,Upper East Side,40.773076,-73.953719,Private room,193,7,125.0,13.89,2,244
1161,Brooklyn,Crown Heights,40.650376,-73.914488,Entire home/apt,116,14,27.0,0.9,5,81
1162,Manhattan,Chelsea,40.745085,-73.988105,Entire home/apt,99,3,24.0,4.8,2,142
1163,Manhattan,Midtown,40.765406,-73.963252,Entire home/apt,324,1,6.0,0.2,1,354
1164,Brooklyn,Bed-Stuy,40.68245,-73.907558,Private room,10,2,16.0,2.29,3,342
1165,Manhattan,Midtown,40.766375,-73.993594,Entire home/apt,235,7,0.0,,10,123
1166,Manhattan,Lower East Side,40.756581,-73.977525,Entire home/apt,177,3,24.0,1.71,10,26
1167,Manhattan,Lower East Side,40.728492,-73.969511,Private room,82,90,12.0,0.71,1,89
1168,Manhattan,Harlem,40.720963,-73.95874,Private room,66,2,20.0,0.87,1,35
1169,Manhattan,Midtown,40.761483,-73.9605,Private room,149,1,2.0,0.12,1,117
1170,Brooklyn,Crown Heights,40.646984,-73.918191,Entire home/apt,184,3,36.0,1.89,3,346
1171,Brooklyn,Bushwick,40.643819,-73.914459,Private room,61,3,2.0,0.07,1,241
1172,Brooklyn,Bed-Stuy,40.656272,-73.936442,Private room,44,1,6.0,0.3,1,10
1173,Brooklyn,Bed-Stuy,40.660663,-73.926039,Shared room,10,7,3.0,0.09,1,322
1174,Manhattan,Midtown,40.720853,-73.952465,Entire home/apt,255,30,10.0,0.28,1,108
1175,Manhattan,Chelsea,40.780549,-73.970432,Entire home/apt,328,2,6.0,0.86,1,195
1176,Manhattan,Harlem,40.767559,-73.944469,Private room,177,1,28.0,1.65,1,57
1177,Brooklyn,Williamsburg,40.632101,-73.907067,Private room,10,3,32.0,4.57,2,263
1178,Brooklyn,Bed-Stuy,40.678193,-73.920364,Private room,57,14,13.0,1.3,1,11
1179,Bronx,Fordham,40.858488,-73.906507,Entire home/apt,39,1,12.0,0.63,3,4
1180,Brooklyn,Bed-Stuy,40.630049,-73.974588,Entire home/apt,188,3,50.0,3.57,1,37
1181,Manhattan,Hell's Kitchen,40.738442,-73.992241,Entire home/apt,158,2,11.0,0.5,2,248
1182,Brooklyn,Bushwick,40.665092,-73.952226,Private room,127,90,17.0,1.0,1,100
1183,Brooklyn,Bed-Stuy,40.641959,-73.918501,Private room,78,3,28.0,0.88,1,133
1184,Manhattan,Chelsea,40.724602,-73.955039,Entire home/apt,180,3,78.0,19.5,3,265
1185,Bronx,Riverdale,40.806741,-73.887741,Entire home/apt,58,7,23.0,0.82,2,24
1186,Brooklyn,Crown Heights,40.625027,-73.982585,Entire home/apt,154,30,68.0,22.67,5,315
1187,Brooklyn,Williamsburg,40.663768,-73.92366,Entire home/apt,81,3,12.0,0.55,1,265
1188,Brooklyn,Bushwick,40.629983,-73.943246,Entire home/apt,66,14,1.0,0.06,2,262
1189,Staten Island,St. George,40.606841,-74.133055,Private room,37,2,23.0,0.79,2,307
1190,Queens,Jackson Heights,40.765106,-73.881114,Entire home/apt,44,3,18.0,0.5,1,228
1191,Manhattan,Midtown,40.763516,-73.99812,Entire home/apt,341,3,,4.88,1,313
1192,Queens,Astoria,40.699939,-73.890824,Private room,47,7,7.0,0.7,1,307
1193,Queens,Astoria,40.724756,-73.838199,Entire home/apt,77,14,26.0,1.08,1,220
1194,Bronx,Kingsbridge,40.871426,-73.905755,Shared room,10,2,29.0,0.81,1,28
1195,Queens,Flushing,40.737115,-73.895668,Private room,93,2,,0.61,2,213
1196,Brooklyn,Bushwick,40.630767,-73.978299,Entire home/apt,145,1,28.0,9.33,2,86
1197,Manhattan,Chelsea,40.79166,-73.948615,Shared room,220,2,33.0,1.38,20,365
1198,Queens,Astoria,40.694574,-73.823571,Entire home/apt,144,1,44.0,1.91,1,137
1199,Manhattan,Harlem,40.734857,-74.01846,Private room,10,2,24.0,1.5,1,48
1200,Bronx,Kingsbridge,40.843594,-73.866154,Entire home/apt,65,3,3.0,0.43,2,257
1201,Queens,Long Island City,40.718079,-73.856993,Private room,79,2,3.0,0.08,1,182
1202,Manhattan,Upper East Side,40.736873,-73.958724,Entire home/apt,248,3,28.0,2.8,2,112
1203,Queens,Flushing,40.747855,-73.856375,Private room,45,2,62.0,5.64,20,148
1204,Manhattan,Harlem,40.724538,-73.965922,Entire home/apt,321,3,7.0,0.26,1,268
1205,Queens,Astoria,40.735228,-73.860331,Entire home/apt,63,14,17.0,1.42,1,277
1206,Manhattan,Hell's Kitchen,40.758643,-73.95906,Private room,188,7,25.0,1.14,1,110
1207,Queens,Jackson Heights,40.704323,-73.856593,Private room,67,1,8.0,0.5,3,319
1208,Queens,Long Island City,40.755197,-73.834386,Private room,31,3,38.0,3.45,5,85
1209,Manhattan,Hell's Kitchen,40.751626,-73.983836,Private room,21,7,35.0,5.0,5,242
1210,Manhattan,Upper East Side,40.769649,-74.023743,Entire home/apt,328,1,6.0,2.0,1,229
1211,Brooklyn,Park Slope,40.665809,-73.926128,Entire home/apt,177,1,39.0,2.6,5,118
1212,Manhattan,Harlem,40.739769,-73.973081,Entire home/apt,198,3,16.0,0.53,1,158
1213,Manhattan,Chelsea,40.755382,-73.988784,Private room,130,90,34.0,1.7,3,116
1214,Manhattan,Harlem,40.772689,-74.000045,Entire home/apt,144,3,6.0,0.4,3,250
1215,Manhattan,Midtown,40.773778,-73.964801,Private room,108,1,17.0,1.31,20,197
1216,Bronx,Fordham,40.818846,-73.884554,Entire home/apt,85,7,4.0,0.18,5,349
1217,Manhattan,Chelsea,40.728888,-73.959789,Private room,125,2,7.0,1.4,5,68
1218,Brooklyn,Crown Heights,40.643018,-73.973492,Entire home/apt,138,7,14.0,0.61,1,325
1219,Manhattan,Hell's Kitchen,40.716903,-74.001942,Private room,280,1,15.0,0.45,1,363
1220,Manhattan,Upper East Side,40.753006,-74.021311,Private room,115,14,,0.4,1,69
1221,Manhattan,Chelsea,40.732943,-73.965404,Private room,143,3,3.0,1.5,1,6
1222,Brooklyn,Williamsburg,40.703504,-73.963478,Entire home/apt,124,14,43.0,2.53,3,141
1223,Brooklyn,Bushwick,40.702388,-73.969359,Entire home/apt,195,3,20.0,1.18,10,344
1224,Manhattan,Midtown,40.782811,-73.966175,Private room,46,3,28.0,4.0,1,151
1225,Manhattan,Lower East Side,40.74829,-74.012723,Private room,106,1,19.0,0.68,5,197
1226,Brooklyn,Crown Heights,40.661739,-73.979843,Entire home/apt,237,14,8.0,0.38,3,293
1227,Queens,Jackson Heights,40.729551,-73.884609,Entire home/apt,84,1,7.0,0.21,3,67
1228,Queens,Astoria,40.732201,-73.893468,Private room,37,90,15.0,0.6,2,25
1229,Manhattan,Lower East Side,40.779768,-73.993566,Entire home/apt,266,14,12.0,0.92,2,166
1230,Queens,Long Island City,40.712988,-73.849586,Shared room,33,14,8.0,2.67,1,163
1231,Manhattan,Hell's Kitchen,40.763078,-73.994952,Private room,10,2,18.0,0.64,1,267
1232,Bronx,Riverdale,40.832226,-73.876776,Entire home/apt,151,2,0.0,,1,175
1233,Manhattan,Lower East Side,40.752829,-74.014205,Private room,137,3,40.0,1.14,20,15
1234,Queens,Flushing,40.759221,-73.894647,Entire home/apt,60,1,29.0,1.21,2,195
1235,Queens,Jackson Heights,40.713148,-73.863307,Entire home/apt,109,14,48.0,9.6,2,133
1236,Queens,Long Island City,40.694974,-73.843474,Entire home/apt,91,2,44.0,2.1,1,276
1237,Brooklyn,Williamsburg,40.674674,-73.95581,Private room,10,1,33.0,1.65,2,74
1238,Queens,Long Island City,40.688305,-73.846466,Entire home/apt,96,7,3.0,,1,65
1239,Manhattan,Chelsea,40.769532,-73.982988,Private room,133,1,119.0,4.58,2,127
1240,Manhattan,Hell's Kitchen,40.785908,-73.971939,Entire home/apt,266,7,51.0,2.68,1,354
1241,Queens,Flushing,40.757165,-73.857268,Entire home/apt,102,2,4.0,0.31,1,45
1242,Manhattan,Upper East Side,40.724196,-73.967385,Shared room,49,7,1.0,0.04,20,153
1243,Staten Island,New Brighton,40.597134,-74.16662,Private room,13,14,30.0,2.5,20,172
1244,Queens,Long Island City,40.710706,-73.835037,Entire home/apt,109,1,2.0,0.08,2,319
1245,Manhattan,Lower East Side,40.784181,-73.997567,Entire home/apt,385,3,32.0,32.0,5,67
1246,Manhattan,Chelsea,40.793635,-73.955544,Shared room,116,2,45.0,2.37,2,267
1247,Brooklyn,Bushwick,40.678536,-73.917657,Entire home/apt,275,3,44.0,1.57,5,200
1248,Queens,Long Island City,40.715265,-73.887814,Private room,10,2,9.0,0.3,1,46
1249,Manhattan,Upper East Side,40.754989,-74.015662,Private room,182,14,14.0,0.48,1,178
1250,Manhattan,Hell's Kitchen,40.746558,-73.952682,Entire home/apt,258,7,22.0,1.57,1,256
1251,Manhattan,Lower East Side,40.740508,-73.985437,Entire home/apt,232,30,23.0,0.74,20,361
1252,Manhattan,Hell's Kitchen,40.780665,-73.956486,Private room,40,1,18.0,1.64,1,301
1253,Manhattan,Hell's Kitchen,40.78854,-73.992239,Entire home/apt,159,1,14.0,2.33,1,105
1254,Manhattan,Chelsea,40.793425,-74.013481,Private room,92,30,17.0,0.52,2,191
1255,Manhattan,Hell's Kitchen,40.73875,-73.958097,Entire home/apt,148,2,13.0,0.59,2,108
1256,Bronx,Riverdale,40.826524,-73.916318,Private room,45,1,29.0,1.81,1,160
1257,Brooklyn,Crown Heights,40.658014,-73.932312,Private room,40,1,1.0,,3,142
1258,Brooklyn,Bushwick,40.682918,-73.974355,Private room,80,1,3.0,0.3,5,38
1259,Bronx,Riverdale,40.839599,-73.890092,Entire home/apt,151,1,19.0,6.33,2,80
1260,Manhattan,Harlem,40.748394,-73.970163,Entire home/apt,204,1,42.0,1.35,2,276
1261,Manhattan,Lower East Side,40.75001,-73.977659,Entire home/apt,86,2,38.0,7.6,1,353
1262,Queens,Jackson Heights,40.722442,-73.889592,Entire home/apt,84,3,12.0,0.44,1,289
1263,Bronx,Kingsbridge,40.805101,-73.858229,Entire home/apt,72,1,4.0,,2,125
1264,Brooklyn,Park Slope,40.703196,-73.941447,Private room,167,1,2.0,0.06,1,324
1265,Manhattan,Upper East Side,40.739057,-74.012235,Entire home/apt,403,30,5.0,0.31,1,233
1266,Brooklyn,Bushwick,40.691137,-73.905279,Entire home/apt,115,3,11.0,11.0,2,133
1267,Manhattan,Midtown,40.726332,-73.979703,Shared room,162,2,12.0,0.43,1,277
1268,Brooklyn,Bushwick,40.665596,-73.929809,Private room,63,2,9.0,0.75,1,50
1269,Manhattan,Hell's Kitchen,40.726042,-73.958659,Private room,231,1,19.0,0.56,20,279
1270,Manhattan,Upper East Side,40.745611,-74.020843,Private room,39,14,9.0,2.25,1,274
1271,Brooklyn,Bed-Stuy,40.653277,-73.947323,Private room,140,60,6.0,0.38,2,116
1272,Manhattan,Midtown,40.789929,-73.982968,Private room,59,3,28.0,0.93,20,11
1273,Manhattan,Harlem,40.730258,-73.963056,Private room,127,2,16.0,0.53,1,227
1274,Manhattan,Hell's Kitchen,40.762169,-73.976687,Entire home/apt,464,90,50.0,1.47,1,81
1275,Queens,Long Island City,40.711875,-73.881769,Entire home/apt,84,1,138.0,4.76,2,336
1276,Manhattan,Lower East Side,40.769403,-74.013245,Entire home/apt,285,30,35.0,1.06,2,213
1277,Manhattan,Upper East Side,40.777472,-73.944756,Entire home/apt,142,2,40.0,1.11,1,183
1278,Manhattan,Upper East Side,40.775514,-73.971317,Shared room,54,1,25.0,2.27,3,140
1279,Queens,Jackson Heights,40.710427,-73.846007,Private room,37,1,23.0,0.79,2,264
1280,Manhattan,Chelsea,40.755806,-74.000035,Entire home/apt,409,7,21.0,1.31,10,44
1281,Manhattan,Hell's Kitchen,40.770809,-73.970652,Entire home/apt,290,7,39.0,2.17,1,187
1282,Manhattan,Lower East Side,40.752115,-74.005918,Private room,10,2,4.0,0.12,1,117
1283,Brooklyn,Bushwick,40.640027,-73.926417,Shared room,10,2,23.0,1.28,3,312
1284,Queens,Jackson Heights,40.753803,-73.836683,Entire home/apt,103,3,25.0,5.0,2,177
1285,Brooklyn,Crown Heights,40.647742,-73.973294,Private room,154,7,3.0,0.19,1,11
